importer,product,sector,year,continent,opportunity_label
484,1401,Agriculture & Food,2024,America,1
384,8904,Transport,2024,Africa,1
422,3925,Plastics & Rubber,2024,Asia,2
634,2816,Chemicals,2024,Asia,1
834,9704,Arts & Antiques,2024,Africa,1
404,5203,Textiles & Clothing,2024,Africa,0
858,8211,Metals & Metal Products,2024,America,1
36,3214,Chemicals,2024,Pacific,2
24,1213,Agriculture & Food,2024,Africa,1
620,2706,Energy & Hydrocarbons,2024,Europe,1
104,6202,Textiles & Clothing,2024,Asia,2
682,8701,Transport,2024,Asia,2
203,8435,Machinery & Equipment,2024,Europe,0
246,2001,Agriculture & Food,2024,Europe,1
458,8102,Metals & Metal Products,2024,Asia,1
410,705,Agriculture & Food,2024,Asia,1
188,1513,Agriculture & Food,2024,America,1
784,5404,Textiles & Clothing,2024,Asia,1
400,2827,Chemicals,2024,Asia,1
56,3005,Chemicals,2024,Europe,2
300,8534,Machinery & Equipment,2024,Europe,2
48,8101,Metals & Metal Products,2024,Asia,1
818,8206,Metals & Metal Products,2024,Africa,0
512,2825,Chemicals,2024,Asia,1
392,6704,Footwear & Headgear,2024,Asia,1
208,2917,Chemicals,2024,Europe,2
780,3602,Chemicals,2024,America,1
757,6402,Footwear & Headgear,2024,Europe,2
348,4821,"Wood, Paper & Leather",2024,Europe,1
24,9001,Instruments & Optics,2024,Africa,2
300,8706,Transport,2024,Europe,0
344,3802,Chemicals,2024,Asia,0
703,6202,Textiles & Clothing,2024,Europe,2
504,8518,Machinery & Equipment,2024,Africa,2
340,1510,Agriculture & Food,2024,America,1
702,5106,Textiles & Clothing,2024,Asia,1
604,7411,Metals & Metal Products,2024,America,1
591,7904,Metals & Metal Products,2024,America,1
364,6505,Footwear & Headgear,2024,Asia,1
24,5903,Textiles & Clothing,2024,Africa,0
458,8504,Machinery & Equipment,2024,Asia,2
470,8508,Machinery & Equipment,2024,Europe,1
233,2809,Chemicals,2024,Europe,1
422,5511,Textiles & Clothing,2024,Asia,1
170,5514,Textiles & Clothing,2024,America,1
634,8403,Machinery & Equipment,2024,Asia,0
144,9508,Furniture & Misc,2024,Asia,1
233,8471,Machinery & Equipment,2024,Europe,0
643,4702,"Wood, Paper & Leather",2024,Asia,1
470,8407,Machinery & Equipment,2024,Europe,2
24,7224,Metals & Metal Products,2024,Africa,1
380,1103,Agriculture & Food,2024,Europe,1
788,7409,Metals & Metal Products,2024,Africa,2
724,2602,Minerals & Raw Materials,2024,Europe,1
703,1520,Agriculture & Food,2024,Europe,1
704,3909,Plastics & Rubber,2024,Asia,2
458,5104,Textiles & Clothing,2024,Asia,1
144,3913,Plastics & Rubber,2024,Asia,1
818,6002,Textiles & Clothing,2024,Africa,1
191,6808,"Stone, Glass & Ceramics",2024,Europe,1
112,2205,Agriculture & Food,2024,Europe,1
32,3506,Chemicals,2024,America,2
344,8901,Transport,2024,Asia,2
40,5904,Textiles & Clothing,2024,Europe,1
752,7017,"Stone, Glass & Ceramics",2024,Europe,1
410,6914,"Stone, Glass & Ceramics",2024,Asia,0
780,9033,Instruments & Optics,2024,America,1
440,3819,Chemicals,2024,Europe,0
208,4813,"Wood, Paper & Leather",2024,Europe,0
70,7202,Metals & Metal Products,2024,Europe,0
31,7218,Metals & Metal Products,2024,Asia,1
604,6909,"Stone, Glass & Ceramics",2024,America,1
703,2608,Minerals & Raw Materials,2024,Europe,0
702,8472,Machinery & Equipment,2024,Asia,0
188,807,Agriculture & Food,2024,America,1
604,1003,Agriculture & Food,2024,America,1
826,7902,Metals & Metal Products,2024,Europe,0
344,2614,Minerals & Raw Materials,2024,Asia,1
792,9101,Instruments & Optics,2024,Europe,2
152,6116,Textiles & Clothing,2024,America,1
70,6702,Footwear & Headgear,2024,Europe,1
208,7904,Metals & Metal Products,2024,Europe,1
400,2510,Minerals & Raw Materials,2024,Asia,1
404,2836,Chemicals,2024,Africa,2
752,6815,"Stone, Glass & Ceramics",2024,Europe,1
484,1210,Agriculture & Food,2024,America,1
392,2817,Chemicals,2024,Asia,1
233,403,Agriculture & Food,2024,Europe,1
554,6809,"Stone, Glass & Ceramics",2024,Pacific,1
203,3825,Chemicals,2024,Europe,1
600,8547,Machinery & Equipment,2024,America,1
203,8458,Machinery & Equipment,2024,Europe,1
440,4810,"Wood, Paper & Leather",2024,Europe,2
894,5207,Textiles & Clothing,2024,Africa,1
344,6117,Textiles & Clothing,2024,Asia,0
608,8448,Machinery & Equipment,2024,Asia,0
764,2809,Chemicals,2024,Asia,1
528,4201,"Wood, Paper & Leather",2024,Europe,1
703,2912,Chemicals,2024,Europe,0
208,7105,Precious Metals & Gems,2024,Europe,0
384,9030,Instruments & Optics,2024,Africa,2
392,6803,"Stone, Glass & Ceramics",2024,Asia,0
48,3209,Chemicals,2024,Asia,1
442,709,Agriculture & Food,2024,Europe,2
40,5512,Textiles & Clothing,2024,Europe,1
410,4904,"Wood, Paper & Leather",2024,Asia,1
410,7214,Metals & Metal Products,2024,Asia,0
804,8003,Metals & Metal Products,2024,Europe,1
705,8547,Machinery & Equipment,2024,Europe,0
616,9209,Instruments & Optics,2024,Europe,0
116,8447,Machinery & Equipment,2024,Asia,1
36,4702,"Wood, Paper & Leather",2024,Pacific,1
682,4101,"Wood, Paper & Leather",2024,Asia,0
804,2823,Chemicals,2024,Europe,0
834,511,Agriculture & Food,2024,Africa,1
368,9007,Instruments & Optics,2024,Asia,0
703,8903,Transport,2024,Europe,0
608,7226,Metals & Metal Products,2024,Asia,1
579,5308,Textiles & Clothing,2024,Europe,0
688,4411,"Wood, Paper & Leather",2024,Unknown,1
100,7606,Metals & Metal Products,2024,Europe,2
579,5101,Textiles & Clothing,2024,Europe,1
364,4805,"Wood, Paper & Leather",2024,Asia,0
757,7322,Metals & Metal Products,2024,Europe,1
860,8457,Machinery & Equipment,2024,Asia,1
458,7401,Metals & Metal Products,2024,Asia,1
156,2514,Minerals & Raw Materials,2024,Asia,1
251,305,Agriculture & Food,2024,Europe,1
56,407,Agriculture & Food,2024,Europe,1
320,6107,Textiles & Clothing,2024,America,1
76,308,Agriculture & Food,2024,America,1
780,4013,Plastics & Rubber,2024,America,1
842,4421,"Wood, Paper & Leather",2024,America,0
364,2006,Agriculture & Food,2024,Asia,0
50,5108,Textiles & Clothing,2024,Asia,0
440,3917,Plastics & Rubber,2024,Europe,0
203,7402,Metals & Metal Products,2024,Europe,2
348,802,Agriculture & Food,2024,Europe,2
100,2501,Minerals & Raw Materials,2024,Europe,0
620,9611,Furniture & Misc,2024,Europe,1
104,8007,Metals & Metal Products,2024,Asia,0
704,6305,Textiles & Clothing,2024,Asia,1
24,8546,Machinery & Equipment,2024,Africa,1
484,3811,Chemicals,2024,America,0
699,9307,Arms & Ammunition,2024,Asia,1
862,8710,Transport,2024,America,1
826,2911,Chemicals,2024,Europe,1
458,801,Agriculture & Food,2024,Asia,1
320,9027,Instruments & Optics,2024,America,2
340,7802,Metals & Metal Products,2024,America,1
528,7009,"Stone, Glass & Ceramics",2024,Europe,1
246,8515,Machinery & Equipment,2024,Europe,1
862,2835,Chemicals,2024,America,1
36,2929,Chemicals,2024,Pacific,0
442,8409,Machinery & Equipment,2024,Europe,2
528,8422,Machinery & Equipment,2024,Europe,0
757,3916,Plastics & Rubber,2024,Europe,1
579,9609,Furniture & Misc,2024,Europe,0
368,8545,Machinery & Equipment,2024,Asia,1
422,4602,"Wood, Paper & Leather",2024,Asia,1
643,8437,Machinery & Equipment,2024,Asia,1
364,1520,Agriculture & Food,2024,Asia,1
32,3802,Chemicals,2024,America,1
152,6111,Textiles & Clothing,2024,America,1
704,9018,Instruments & Optics,2024,Asia,2
410,9001,Instruments & Optics,2024,Asia,0
32,9605,Furniture & Misc,2024,America,1
834,6208,Textiles & Clothing,2024,Africa,0
512,3304,Chemicals,2024,Asia,2
203,4006,Plastics & Rubber,2024,Europe,0
470,7806,Metals & Metal Products,2024,Europe,1
400,8711,Transport,2024,Asia,2
842,2707,Energy & Hydrocarbons,2024,America,2
504,7211,Metals & Metal Products,2024,Africa,1
56,8547,Machinery & Equipment,2024,Europe,1
862,5903,Textiles & Clothing,2024,America,2
348,9029,Instruments & Optics,2024,Europe,0
50,2811,Chemicals,2024,Asia,1
31,6105,Textiles & Clothing,2024,Asia,1
70,9110,Instruments & Optics,2024,Europe,1
48,1515,Agriculture & Food,2024,Asia,1
894,5210,Textiles & Clothing,2024,Africa,1
364,7804,Metals & Metal Products,2024,Asia,1
862,8705,Transport,2024,America,2
642,8465,Machinery & Equipment,2024,Europe,1
764,8112,Metals & Metal Products,2024,Asia,1
36,2615,Minerals & Raw Materials,2024,Pacific,1
348,6902,"Stone, Glass & Ceramics",2024,Europe,1
434,8310,Metals & Metal Products,2024,Africa,1
170,8444,Machinery & Equipment,2024,America,0
340,706,Agriculture & Food,2024,America,1
804,7105,Precious Metals & Gems,2024,Europe,0
340,4008,Plastics & Rubber,2024,America,0
100,7304,Metals & Metal Products,2024,Europe,2
554,3825,Chemicals,2024,Pacific,1
124,2922,Chemicals,2024,America,2
124,710,Agriculture & Food,2024,America,1
368,6702,Footwear & Headgear,2024,Asia,1
48,8451,Machinery & Equipment,2024,Asia,1
348,2839,Chemicals,2024,Europe,0
554,7113,Precious Metals & Gems,2024,Pacific,2
392,8548,Machinery & Equipment,2024,Asia,1
704,2603,Minerals & Raw Materials,2024,Asia,2
894,809,Agriculture & Food,2024,Africa,2
703,6804,"Stone, Glass & Ceramics",2024,Europe,0
384,2204,Agriculture & Food,2024,Africa,1
340,1401,Agriculture & Food,2024,America,1
191,7006,"Stone, Glass & Ceramics",2024,Europe,1
634,9026,Instruments & Optics,2024,Asia,2
858,8530,Machinery & Equipment,2024,America,0
579,2844,Chemicals,2024,Europe,0
784,7010,"Stone, Glass & Ceramics",2024,Asia,2
104,9406,Furniture & Misc,2024,Asia,0
757,4408,"Wood, Paper & Leather",2024,Europe,0
804,9615,Furniture & Misc,2024,Europe,1
398,7309,Metals & Metal Products,2024,Asia,1
32,3208,Chemicals,2024,America,2
50,1101,Agriculture & Food,2024,Asia,0
68,3801,Chemicals,2024,America,1
152,2003,Agriculture & Food,2024,America,0
320,1806,Agriculture & Food,2024,America,2
634,3915,Plastics & Rubber,2024,Asia,0
100,3818,Chemicals,2024,Europe,2
643,7406,Metals & Metal Products,2024,Asia,0
288,8711,Transport,2024,Africa,2
600,5505,Textiles & Clothing,2024,America,1
704,9024,Instruments & Optics,2024,Asia,1
440,4902,"Wood, Paper & Leather",2024,Europe,1
616,1521,Agriculture & Food,2024,Europe,1
434,8531,Machinery & Equipment,2024,Africa,1
792,8434,Machinery & Equipment,2024,Europe,1
48,6810,"Stone, Glass & Ceramics",2024,Asia,2
784,7614,Metals & Metal Products,2024,Asia,1
50,6804,"Stone, Glass & Ceramics",2024,Asia,0
50,902,Agriculture & Food,2024,Asia,1
784,4001,Plastics & Rubber,2024,Asia,2
434,6111,Textiles & Clothing,2024,Africa,1
344,2207,Agriculture & Food,2024,Asia,2
288,8303,Metals & Metal Products,2024,Africa,1
752,8713,Transport,2024,Europe,1
512,6807,"Stone, Glass & Ceramics",2024,Asia,0
384,8473,Machinery & Equipment,2024,Africa,1
191,6905,"Stone, Glass & Ceramics",2024,Europe,1
203,1301,Agriculture & Food,2024,Europe,1
434,8510,Machinery & Equipment,2024,Africa,0
440,9205,Instruments & Optics,2024,Europe,0
591,1104,Agriculture & Food,2024,America,1
752,9608,Furniture & Misc,2024,Europe,0
702,2815,Chemicals,2024,Asia,1
458,7204,Metals & Metal Products,2024,Asia,0
608,7004,"Stone, Glass & Ceramics",2024,Asia,1
682,2513,Minerals & Raw Materials,2024,Asia,1
442,3211,Chemicals,2024,Europe,1
276,2514,Minerals & Raw Materials,2024,Europe,0
214,8608,Transport,2024,America,1
70,403,Agriculture & Food,2024,Europe,1
600,1901,Agriculture & Food,2024,America,2
36,7229,Metals & Metal Products,2024,Pacific,0
384,4206,"Wood, Paper & Leather",2024,Africa,1
826,5103,Textiles & Clothing,2024,Europe,0
392,1008,Agriculture & Food,2024,Asia,1
682,3105,Chemicals,2024,Asia,2
191,8522,Machinery & Equipment,2024,Europe,1
392,1103,Agriculture & Food,2024,Asia,1
566,8308,Metals & Metal Products,2024,Africa,1
364,2927,Chemicals,2024,Asia,0
566,8436,Machinery & Equipment,2024,Africa,0
894,8449,Machinery & Equipment,2024,Africa,1
682,4006,Plastics & Rubber,2024,Asia,1
344,2525,Minerals & Raw Materials,2024,Asia,0
188,7206,Metals & Metal Products,2024,America,1
634,8506,Machinery & Equipment,2024,Asia,1
214,5503,Textiles & Clothing,2024,America,1
554,8703,Transport,2024,Pacific,0
372,7407,Metals & Metal Products,2024,Europe,1
24,2938,Chemicals,2024,Africa,1
233,6114,Textiles & Clothing,2024,Europe,1
208,9403,Furniture & Misc,2024,Europe,0
784,8605,Transport,2024,Asia,1
100,9015,Instruments & Optics,2024,Europe,2
608,7801,Metals & Metal Products,2024,Asia,1
70,201,Agriculture & Food,2024,Europe,2
50,3006,Chemicals,2024,Asia,1
442,1004,Agriculture & Food,2024,Europe,1
344,2821,Chemicals,2024,Asia,0
144,8302,Metals & Metal Products,2024,Asia,2
826,2702,Energy & Hydrocarbons,2024,Europe,2
484,706,Agriculture & Food,2024,America,1
604,8424,Machinery & Equipment,2024,America,0
180,6110,Textiles & Clothing,2024,Africa,2
634,4014,Plastics & Rubber,2024,Asia,0
56,3812,Chemicals,2024,Europe,0
842,904,Agriculture & Food,2024,America,1
188,206,Agriculture & Food,2024,America,1
699,5605,Textiles & Clothing,2024,Asia,0
860,2103,Agriculture & Food,2024,Asia,2
400,7615,Metals & Metal Products,2024,Asia,1
251,2514,Minerals & Raw Materials,2024,Europe,0
705,3903,Plastics & Rubber,2024,Europe,0
442,7413,Metals & Metal Products,2024,Europe,1
860,4404,"Wood, Paper & Leather",2024,Asia,1
643,2939,Chemicals,2024,Asia,1
780,9010,Instruments & Optics,2024,America,1
276,6502,Footwear & Headgear,2024,Europe,1
792,7901,Metals & Metal Products,2024,Europe,0
112,8545,Machinery & Equipment,2024,Europe,0
834,8606,Transport,2024,Africa,1
208,2305,Agriculture & Food,2024,Europe,1
858,2805,Chemicals,2024,America,1
591,2923,Chemicals,2024,America,0
705,5407,Textiles & Clothing,2024,Europe,2
392,3303,Chemicals,2024,Asia,2
724,9004,Instruments & Optics,2024,Europe,2
442,2205,Agriculture & Food,2024,Europe,0
440,6003,Textiles & Clothing,2024,Europe,1
288,7323,Metals & Metal Products,2024,Africa,2
24,2711,Energy & Hydrocarbons,2024,Africa,0
703,3213,Chemicals,2024,Europe,1
804,3406,Chemicals,2024,Europe,1
384,9102,Instruments & Optics,2024,Africa,2
246,2007,Agriculture & Food,2024,Europe,1
705,9605,Furniture & Misc,2024,Europe,0
70,8418,Machinery & Equipment,2024,Europe,2
233,3913,Plastics & Rubber,2024,Europe,1
484,2921,Chemicals,2024,America,0
116,8607,Transport,2024,Asia,2
620,8456,Machinery & Equipment,2024,Europe,1
579,5503,Textiles & Clothing,2024,Europe,0
116,5804,Textiles & Clothing,2024,Asia,1
372,5608,Textiles & Clothing,2024,Europe,0
682,7408,Metals & Metal Products,2024,Asia,2
384,402,Agriculture & Food,2024,Africa,0
276,6911,"Stone, Glass & Ceramics",2024,Europe,0
68,6002,Textiles & Clothing,2024,America,1
458,5203,Textiles & Clothing,2024,Asia,1
112,2105,Agriculture & Food,2024,Europe,1
214,305,Agriculture & Food,2024,America,1
586,8601,Transport,2024,Asia,1
56,811,Agriculture & Food,2024,Europe,0
116,7802,Metals & Metal Products,2024,Asia,1
251,2906,Chemicals,2024,Europe,1
152,7325,Metals & Metal Products,2024,America,1
512,9006,Instruments & Optics,2024,Asia,0
68,1006,Agriculture & Food,2024,America,0
688,8512,Machinery & Equipment,2024,Unknown,2
170,4203,"Wood, Paper & Leather",2024,America,1
792,4704,"Wood, Paper & Leather",2024,Europe,0
40,4501,"Wood, Paper & Leather",2024,Europe,0
36,7601,Metals & Metal Products,2024,Pacific,0
144,7315,Metals & Metal Products,2024,Asia,1
591,3101,Chemicals,2024,America,0
586,704,Agriculture & Food,2024,Asia,1
32,4402,"Wood, Paper & Leather",2024,America,0
56,2844,Chemicals,2024,Europe,2
392,9025,Instruments & Optics,2024,Asia,0
36,4008,Plastics & Rubber,2024,Pacific,1
757,302,Agriculture & Food,2024,Europe,2
348,8450,Machinery & Equipment,2024,Europe,2
643,5908,Textiles & Clothing,2024,Asia,0
804,7309,Metals & Metal Products,2024,Europe,1
699,6004,Textiles & Clothing,2024,Asia,1
233,803,Agriculture & Food,2024,Europe,1
191,1804,Agriculture & Food,2024,Europe,2
894,2831,Chemicals,2024,Africa,0
398,7221,Metals & Metal Products,2024,Asia,1
251,9022,Instruments & Optics,2024,Europe,2
124,4304,"Wood, Paper & Leather",2024,America,1
188,4419,"Wood, Paper & Leather",2024,America,1
144,2305,Agriculture & Food,2024,Asia,0
470,2934,Chemicals,2024,Europe,0
31,1702,Agriculture & Food,2024,Asia,2
862,8514,Machinery & Equipment,2024,America,1
156,8475,Machinery & Equipment,2024,Asia,1
484,3825,Chemicals,2024,America,1
591,2813,Chemicals,2024,America,1
100,6205,Textiles & Clothing,2024,Europe,2
246,404,Agriculture & Food,2024,Europe,1
24,9201,Instruments & Optics,2024,Africa,1
70,7326,Metals & Metal Products,2024,Europe,2
642,1503,Agriculture & Food,2024,Europe,0
36,8001,Metals & Metal Products,2024,Pacific,0
784,9031,Instruments & Optics,2024,Asia,2
124,8802,Transport,2024,America,2
528,2825,Chemicals,2024,Europe,1
860,3901,Plastics & Rubber,2024,Asia,2
642,7308,Metals & Metal Products,2024,Europe,2
410,2911,Chemicals,2024,Asia,1
36,2403,Agriculture & Food,2024,Pacific,0
144,8214,Metals & Metal Products,2024,Asia,1
554,2835,Chemicals,2024,Pacific,1
180,208,Agriculture & Food,2024,Africa,0
344,2840,Chemicals,2024,Asia,0
566,6406,Footwear & Headgear,2024,Africa,0
484,210,Agriculture & Food,2024,America,0
398,1704,Agriculture & Food,2024,Asia,2
512,8716,Transport,2024,Asia,0
144,8305,Metals & Metal Products,2024,Asia,1
68,2835,Chemicals,2024,America,1
170,2806,Chemicals,2024,America,1
862,2606,Minerals & Raw Materials,2024,America,1
504,2815,Chemicals,2024,Africa,1
705,6303,Textiles & Clothing,2024,Europe,1
818,8513,Machinery & Equipment,2024,Africa,1
858,9303,Arms & Ammunition,2024,America,1
705,5607,Textiles & Clothing,2024,Europe,1
528,4114,"Wood, Paper & Leather",2024,Europe,1
591,2819,Chemicals,2024,America,1
702,4102,"Wood, Paper & Leather",2024,Asia,1
818,1205,Agriculture & Food,2024,Africa,2
512,604,Agriculture & Food,2024,Asia,0
31,9307,Arms & Ammunition,2024,Asia,1
300,9017,Instruments & Optics,2024,Europe,1
591,2901,Chemicals,2024,America,2
380,5606,Textiles & Clothing,2024,Europe,1
586,910,Agriculture & Food,2024,Asia,0
251,7603,Metals & Metal Products,2024,Europe,1
724,4814,"Wood, Paper & Leather",2024,Europe,1
344,205,Agriculture & Food,2024,Asia,0
860,7009,"Stone, Glass & Ceramics",2024,Asia,1
188,2402,Agriculture & Food,2024,America,0
152,8112,Metals & Metal Products,2024,America,1
246,7004,"Stone, Glass & Ceramics",2024,Europe,0
104,803,Agriculture & Food,2024,Asia,0
804,2523,Minerals & Raw Materials,2024,Europe,0
858,2906,Chemicals,2024,America,1
400,4014,Plastics & Rubber,2024,Asia,0
554,7112,Precious Metals & Gems,2024,Pacific,2
56,8503,Machinery & Equipment,2024,Europe,0
180,406,Agriculture & Food,2024,Africa,2
410,4104,"Wood, Paper & Leather",2024,Asia,0
860,2920,Chemicals,2024,Asia,1
364,910,Agriculture & Food,2024,Asia,1
528,9305,Arms & Ammunition,2024,Europe,1
124,4823,"Wood, Paper & Leather",2024,America,2
392,8484,Machinery & Equipment,2024,Asia,1
579,8446,Machinery & Equipment,2024,Europe,1
31,5208,Textiles & Clothing,2024,Asia,1
554,5203,Textiles & Clothing,2024,Pacific,0
434,9503,Furniture & Misc,2024,Africa,2
470,9606,Furniture & Misc,2024,Europe,0
144,909,Agriculture & Food,2024,Asia,1
246,5109,Textiles & Clothing,2024,Europe,1
372,6001,Textiles & Clothing,2024,Europe,0
894,7307,Metals & Metal Products,2024,Africa,2
76,8458,Machinery & Equipment,2024,America,1
233,8204,Metals & Metal Products,2024,Europe,1
586,2837,Chemicals,2024,Asia,1
784,1107,Agriculture & Food,2024,Asia,1
32,8801,Transport,2024,America,1
70,5106,Textiles & Clothing,2024,Europe,1
300,4101,"Wood, Paper & Leather",2024,Europe,1
380,8308,Metals & Metal Products,2024,Europe,1
591,5503,Textiles & Clothing,2024,America,1
643,1518,Agriculture & Food,2024,Asia,0
100,3705,Chemicals,2024,Europe,1
360,2820,Chemicals,2024,Asia,1
554,5201,Textiles & Clothing,2024,Pacific,2
422,5811,Textiles & Clothing,2024,Asia,1
512,3306,Chemicals,2024,Asia,0
554,4706,"Wood, Paper & Leather",2024,Pacific,1
682,1801,Agriculture & Food,2024,Asia,2
410,9503,Furniture & Misc,2024,Asia,1
144,3910,Plastics & Rubber,2024,Asia,1
156,8420,Machinery & Equipment,2024,Asia,0
48,4401,"Wood, Paper & Leather",2024,Asia,1
100,8471,Machinery & Equipment,2024,Europe,1
512,3901,Plastics & Rubber,2024,Asia,0
368,2928,Chemicals,2024,Asia,0
634,6207,Textiles & Clothing,2024,Asia,1
752,8513,Machinery & Equipment,2024,Europe,0
320,3924,Plastics & Rubber,2024,America,2
124,1904,Agriculture & Food,2024,America,1
112,3703,Chemicals,2024,Europe,1
764,2924,Chemicals,2024,Asia,0
288,4303,"Wood, Paper & Leather",2024,Africa,0
410,6913,"Stone, Glass & Ceramics",2024,Asia,1
372,5607,Textiles & Clothing,2024,Europe,1
300,2208,Agriculture & Food,2024,Europe,2
400,9303,Arms & Ammunition,2024,Asia,1
705,2511,Minerals & Raw Materials,2024,Europe,1
276,3305,Chemicals,2024,Europe,2
705,1207,Agriculture & Food,2024,Europe,1
372,3702,Chemicals,2024,Europe,1
276,8522,Machinery & Equipment,2024,Europe,0
392,4113,"Wood, Paper & Leather",2024,Asia,1
600,210,Agriculture & Food,2024,America,1
764,3209,Chemicals,2024,Asia,1
36,9609,Furniture & Misc,2024,Pacific,0
834,4910,"Wood, Paper & Leather",2024,Africa,1
842,8507,Machinery & Equipment,2024,America,2
434,7205,Metals & Metal Products,2024,Africa,1
826,710,Agriculture & Food,2024,Europe,1
788,5401,Textiles & Clothing,2024,Africa,1
428,1605,Agriculture & Food,2024,Europe,1
860,9508,Furniture & Misc,2024,Asia,0
152,3702,Chemicals,2024,America,0
788,9005,Instruments & Optics,2024,Africa,1
788,7324,Metals & Metal Products,2024,Africa,0
724,6309,Textiles & Clothing,2024,Europe,1
600,8464,Machinery & Equipment,2024,America,1
340,6208,Textiles & Clothing,2024,America,1
384,6703,Footwear & Headgear,2024,Africa,1
804,9303,Arms & Ammunition,2024,Europe,1
862,7219,Metals & Metal Products,2024,America,2
634,5402,Textiles & Clothing,2024,Asia,0
124,5101,Textiles & Clothing,2024,America,0
818,2714,Energy & Hydrocarbons,2024,Africa,0
682,9027,Instruments & Optics,2024,Asia,2
894,6304,Textiles & Clothing,2024,Africa,1
208,6114,Textiles & Clothing,2024,Europe,0
699,3005,Chemicals,2024,Asia,2
704,1905,Agriculture & Food,2024,Asia,2
470,4112,"Wood, Paper & Leather",2024,Europe,0
288,7217,Metals & Metal Products,2024,Africa,1
31,8474,Machinery & Equipment,2024,Asia,2
208,4409,"Wood, Paper & Leather",2024,Europe,0
634,7109,Precious Metals & Gems,2024,Asia,1
156,3906,Plastics & Rubber,2024,Asia,0
116,6806,"Stone, Glass & Ceramics",2024,Asia,1
682,9704,Arts & Antiques,2024,Asia,1
288,306,Agriculture & Food,2024,Africa,2
344,8458,Machinery & Equipment,2024,Asia,1
116,4904,"Wood, Paper & Leather",2024,Asia,1
50,9301,Arms & Ammunition,2024,Asia,1
600,8805,Transport,2024,America,1
586,8414,Machinery & Equipment,2024,Asia,0
